,city,year,month,day,hour,title,city_sector,address,intersection,latitude,longitude
3287,Toronto,2019,3,13,14,ROM  March Break 2019,NA,"100 Queens Park, Toronto, ON M5S 2C6, Canada",NA,43.6677097,-79.3947771
3288,Toronto,2019,2,17,6,Migration Trail,NA,"4709 Dundas St W, Etobicoke, ON M9A 1A8, Canada",NA,43.651723,-79.5256961
3289,Toronto,2019,1,15,16,Crosscurrents: Canada in the Making,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3290,Toronto,2019,5,7,18,Sewing Classes,NA,"1765 Weston Rd, York, ON M9N 3P7, Canada",NA,43.6990692,-79.51211869999997
3291,Toronto,2019,4,19,15,Annual Beaches Easter Parade Weekend,NA,,NA,43.6736585670233,-79.28234183440935
3292,Toronto,2019,3,7,16,The Best of Scarborough Food Tour,NA,"2455 Eglinton Ave E, Scarborough, ON M1K, Canada",NA,43.7325254,-79.26370120000001
3293,Toronto,2019,2,6,19,Farmers' Market,NA,"4709 Dundas St W, Etobicoke, ON M9A 1A8, Canada",NA,43.651723,-79.5256961
3294,Toronto,2019,4,13,23,Dinner With A View,NA,"250 Fort York Blvd, Toronto, ON M5V 3K9, Canada",NA,43.6374082,-79.40664609999999
3295,Toronto,2019,11,30,18,Downtown Desserts &amp; Culture Tour,NA,"191 Baldwin St, Toronto, ON M5T 1M1, Canada",NA,43.6544824,-79.40121469999997
3296,Toronto,2019,3,24,15,TD StoryJam Family Storytelling Day,NA,"789 Yonge St, Toronto, ON M4W 2G8, Canada",NA,43.6717923,-79.3868129
3297,Toronto,2019,7,2,18,Sewing Classes,NA,"1765 Weston Rd, York, ON M9N 3P7, Canada",NA,43.6990692,-79.51211869999997
3298,Toronto,2019,2,8,21,Sewing Classes,NA,"1765 Weston Rd, York, ON M9N 3P7, Canada",NA,43.6990692,-79.51211869999997
3299,Toronto,2019,4,4,23,#trapjazz thursdays with game.set.trap,NA,"876 Dundas St W, Toronto, ON M6J 1V7, Canada",NA,43.6513532,-79.41137309999999
3300,Toronto,2016,11,12,1,2016 Open Rhodes Art Show & Sale,Central East,695 Rhodes Avenue,Coxwell Avenue and Danforth Avenue,43.6819616565,-79.3239315637
3301,Toronto,2019,9,11,18,Farmers' Market,NA,"4709 Dundas St W, Etobicoke, ON M9A 1A8, Canada",NA,43.651723,-79.5256961
3302,Toronto,2019,1,26,17,East End Beer &amp; Food Walk,NA,"47 Donlands Ave, Toronto, ON M4J 3N5, Canada",NA,43.6808809,-79.33747729999999
3303,Toronto,2018,10,8,15,Crosscurrents: Canada in the Making,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3304,Toronto,2019,5,9,15,Nadia Myre: Balancing Acts,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3305,Toronto,2019,3,24,18,Isitwendam (An Understanding),NA,"585 Dundas St E, Toronto, ON M5A 2B7, Canada",NA,43.6598945,-79.36221979999999
3306,Toronto,2018,10,11,21,East End Beer &amp; Food Walk,NA,"47 Donlands Ave, Toronto, ON M4J 3N5, Canada",NA,43.6808809,-79.33747729999999
3307,Toronto,2019,3,7,22,Museum Thursday Nights,NA,"5172 Yonge St, Toronto, ON M2N 0G1, Canada",NA,43.7696779,-79.4131304
3308,Toronto,2014,12,3,5,28th Annual Ontario Water Conservation Dinner and Auction,Downtown,401 Bay Street,Bay St. and Queen St. W,,
3309,Toronto,2018,9,14,15,The Best of Scarborough Food Tour,NA,"2455 Eglinton Ave E, Scarborough, ON M1K, Canada",NA,43.7325254,-79.26370120000001
3310,Toronto,2019,6,6,22,Fret Not Ukulele Night,NA,"4709 Dundas St W, Etobicoke, ON M9A 1A8, Canada",NA,43.651723,-79.5256961
3311,Toronto,2019,4,6,16,Homage,NA,"49 Ossington Ave, Toronto, ON M6J 2Y9, Canada",NA,43.6453577,-79.4190883
3312,Toronto,2019,4,23,20,Earn-A-Bike,NA,"15 Tobermory Dr, North York, ON M3N 2R5, Canada",NA,43.760158,-79.5078661
3313,Toronto,2019,8,19,15,Nadia Myre: Balancing Acts,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3314,Toronto,2019,5,9,21,Museum Thursday Nights,NA,"5172 Yonge St, Toronto, ON M2N 0G1, Canada",NA,43.7696779,-79.4131304
3315,Toronto,2016,8,5,NA,2016 Fall Revue,Downtown,51 Mercer Street,King Street West  and Blue Jays Way,43.645374149,-79.391536986
3316,Toronto,2019,5,21,20,Earn-A-Bike,NA,"15 Tobermory Dr, North York, ON M3N 2R5, Canada",NA,43.760158,-79.5078661
3317,Toronto,2019,7,22,14,Sewing Classes,NA,"707 Dundas St W, Toronto, ON M5T 2W6, Canada",NA,43.6517657,-79.40496460000003
