,city,year,month,day,hour,title,city_sector,address,intersection,postal_code
151,Ottawa,2017,5,28,NA,Conférence - Découverte du fonds Église catholique-chrétienne,Gatineau Sector,855 Boulevard de la Gappe,855 Boulevard de la Gappe,J8T 8H9
152,Ottawa,2017,5,25,NA,Atelier-conférence: À la recherche d'actes notariés dans les bases de données,Gatineau Sector,855 Boulevard de la Gappe,855 Boulevard de la Gappe,J8T 8H9
153,Ottawa,2017,5,19,NA,Walking Out of War book signing,Downtown/Central,2269 Riverside Drive,2269 Riverside Drive,K1H 1A1
154,Ottawa,2017,6,7,NA,A Classical Treat,East Ottawa,39 Dufferin Road,39 Dufferin Road,K1M 2H3
155,Ottawa,2017,5,6,NA,Singers Master Class,Downtown/Central,953 Gladstone Ave.,953 Gladstone Ave.,K1Y 4W5
156,Ottawa,2017,5,13,NA,International Migratory Bird Day Event,South Ottawa,100 Brewer Way,100 Brewer Way,K1S 5T1
157,Ottawa,2017,4,28,NA,Crystal Beshara - Songs of the Sea,Downtown/Central,505 Industrial Avenue,505 Industrial Avenue,K1G 0Z1
158,Ottawa,2017,5,13,NA,Ballade to the Moon,Downtown/Central,355 Cooper Street,355 Cooper Street,K2P 0G8
159,Ottawa,2017,5,6,NA,Jay Dart: Meanwhile Back Over Yawnder,West Ottawa,358 Richmond Road,358 Richmond Road,K2A 0E8
160,Ottawa,2017,5,26,NA,"Red, White and Gold - an Amazing Concert with Chantal Kreviazuk",Downtown/Central,55 Colonel By Drive,55 Colonel By Drive,K1N 9J2
161,Ottawa,2017,6,3,NA,Red Trillium Studio Tour 2017,Rural West,-,-,K0A 2H0
162,Ottawa,2017,5,14,NA,Mother’s Day Family Picnic,West Ottawa,3080 Richmond Road,3080 Richmond Road,K2B 7V1
163,Ottawa,2017,5,27,NA,Saturday Explorers: Crafting in the Past,West Ottawa,16 Rowley Avenue,16 Rowley Avenue,K2G 1L9
164,Ottawa,2017,6,8,NA,Lauren & Amanda Do It,Downtown/Central,220 Elgin Street,220 Elgin Street,K2P 1L7
165,Ottawa,2017,5,12,NA,Fork in the Road,West Ottawa,101 Centrepointe Drive,101 Centrepointe Drive,K2G 5K7
166,Ottawa,2017,5,7,NA,Canadian Centennial Choir 50th anniversary concert ,West Ottawa,207 Woodroffe Avenue,207 Woodroffe Avenue,K2A 3V1
167,Ottawa,2017,5,25,NA,Plus Que du Théâtre,Downtown/Central,352 MacLaren Street,352 MacLaren Street,K2P 0M6
168,Ottawa,2017,6,20,NA,Django Libre Concert for World Music Day,Downtown/Central,501 Old St. Patrick Street,501 Old St. Patrick Street,K1N 8R3
169,Ottawa,2017,6,3,NA,City of OM,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3
170,Ottawa,2017,5,13,NA,OWAA Celebrates Canada 150,West Ottawa,1500 Shea Rd.,1500 Shea Rd.,K2S 1B9
171,Ottawa,2017,8,31,NA,Gatineau Hot Air Balloon Festival,Gatineau Sector,988 St-Louis Street,988 St-Louis Street,J8T 2S4
172,Ottawa,2017,6,24,NA,Push For Your Tush - Ottawa,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3
173,Ottawa,2017,5,18,NA,In the Room,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
174,Ottawa,2017,6,1,NA,PAF-FAS Open House                                                                                                                                                          and Artist Research and Development Venue launch ,Gatineau Park/Chelsea,42 Chemin Plunkett,42 Chemin Plunkett,J0X 1T0
175,Ottawa,2017,5,28,NA,Heritage Power,Rural East,2940 Old Montreal Road,2940 Old Montreal Road,K4C 1G3
176,Ottawa,2017,5,26,NA,Claudia Salguero in concert,Gatineau Sector,80 Chemin Summer,80 Chemin Summer,J8V 3J3
177,Ottawa,2017,6,18,NA,Popular Mechanics,Rural East,2940 Old Montreal Road,2940 Old Montreal Road,K4C 1G3
178,Ottawa,2017,5,19,NA,TIMEKODE: May Edition,Downtown/Central,164 Laurier Avenue West,164 Laurier Avenue West,K1P 5J4
179,Ottawa,2017,7,21,NA,Animals Rock 2017,South Ottawa,4899 Uplands Drive,4899 Uplands Drive,K1V 2N6
180,Ottawa,2017,5,30,NA,Dominion,Downtown/Central,1285 Wellington Street West,1285 Wellington Street West,K1Y 1B4
181,Ottawa,2017,5,24,NA,Ateliers de danse intergénérationnels ado et 60 ans +,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7
182,Ottawa,2017,5,20,NA,Megan Jerome and the Together Ensemble,Gatineau Park/Chelsea,715 Chemin Riverside,715 Chemin Riverside,J0X 3G0
183,Ottawa,2017,6,16,NA,Megan Jerome and the Together Ensemble,Downtown/Central,692 Somerset St W,692 Somerset St W,K1R 6P4
184,Ottawa,2017,5,9,NA,WAVE,Downtown/Central,371 Preston Street,371 Preston Street,K1S 4M8
185,Ottawa,2017,6,18,NA,Vintage Car Show,South Ottawa,2100 Cabot St.,2100 Cabot St.,K1H 6K1
186,Ottawa,2017,6,4,NA,MELOG Latin Expo 2017,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3
187,Ottawa,2017,5,31,NA,Ottawa Riverkeeper Gala,Downtown/Central,River Street,River Street,K1Y 2C4
188,Ottawa,2017,6,3,NA,Songbird,Downtown/Central,355 Cooper Street,355 Cooper Street,K2P 0G8
189,Ottawa,2017,7,1,NA,Canada Day Tea,South Ottawa,2100 Cabot St.,2100 Cabot St.,K1H 6K1
190,Ottawa,2017,8,20,NA,Vintage Motorcycle Show,South Ottawa,2100 Cabot St.,2100 Cabot St.,K1H 6K1
191,Ottawa,2017,7,16,NA,Pride and Prejudice Garden Party,South Ottawa,2100 Cabot St.,2100 Cabot St.,K1H 6K1
192,Ottawa,2017,5,19,NA,Owl at Home,West Ottawa,35 Stafford Road,35 Stafford Road,K2H 8V8
193,Ottawa,2017,5,22,NA,Absolute 360,Downtown/Central,412 Preston Street,412 Preston Street,K1S 4M7
194,Ottawa,2017,8,13,NA,Nursing a Grudge,Rural East,2940 Old Montreal Road,2940 Old Montreal Road,K4C 1G3
195,Ottawa,2017,5,31,NA,Pints for Paws: A Night at the Speakeasy,Downtown/Central,14 Waller Street,14 Waller Street,K1N 9C4
196,Ottawa,2017,5,20,NA,Capital Burlesque Expo - Saturday Spectacle Supreme,Downtown/Central,501 Old St. Patrick Street,501 Old St. Patrick Street,K1N 8R3
197,Ottawa,2017,6,10,NA,Canada's Kitchen,Downtown/Central,"335 Laurier Avenue, East","335 Laurier Avenue, East",K1N 6R4
198,Ottawa,2017,5,21,NA,Kaleigh Watts - Hung Me Dry Album Release Show,Downtown/Central,220 Elgin Street,220 Elgin Street,K2P 1L7
